STUDENT ID,Gender,Transporttion,Accomodation,Preparation to midterm,Taking notes in classes,GRADE,,,,,,,,,
1,female,Bus,Dorms,Regularly during the semester,Always,A,,,,,,,,,
2,female,Car,With familly,Regularly during the semester,Always,A,,,,,,,,,
3,male,Car,With familly,Regularly during the semester,Always,A,,,,,,,,,
4,male,Bus,With familly,Regularly during the semester,Always,A,,,,,,,,,
5,female,Bus,With familly,Regularly during the semester,Sometimes,A,,,,,,,,,
6,male,Car,Dorms,Regularly during the semester,Always,A,,,,,,,,,
7,male,Bus,With familly,Closest day to the exam,Always,A,,,,,,,,,
8,male,Bus,With familly,Closest day to the exam,Always,A,,,,,,,,,
9,male,Bus,With familly,Closest day to the exam,Always,A,,,,,,,,,
10,male,Bus,With familly,Regularly during the semester,Sometimes,A,,,,,,,,,
11,male,Car,Dorms,Closest day to the exam,Sometimes,A,,,,,,,,,
12,male,Bus,Dorms,Closest day to the exam,Always,A,,,,,,,,,
13,male,Bus,Dorms,Closest day to the exam,Always,A,,,,,,,,,
14,male,Bus,Dorms,Regularly during the semester,Always,A,,,,,,,,,
15,male,Bus,Dorms,Regularly during the semester,Always,A,,,,,,,,,
16,male,Car,Dorms,Regularly during the semester,Always,A,,,,,,,,,
17,male,Car,Dorms,Regularly during the semester,Always,A,,,,,,,,,
18,female,Car,Dorms,Regularly during the semester,Always,A,,,,,,,,,
19,male,Bus,With familly,Regularly during the semester,Always,B,,,,,,,,,
20,female,Bus,With familly,Regularly during the semester,Always,B,,,,,,,,,
21,male,Car,Dorms,Closest day to the exam,Always,B,,,,,,,,,
22,male,Bus,Dorms,Closest day to the exam,Sometimes,B,,,,,,,,,
23,male,Bus,Dorms,Closest day to the exam,Always,B,,,,,,,,,
24,female,Bus,Dorms,Closest day to the exam,Sometimes,B,,,,,,,,,
25,male,Bus,Dorms,Regularly during the semester,Always,B,,,,,,,,,
26,male,Bus,With familly,Closest day to the exam,Always,B,,,,,,,,,
27,male,Bus,Dorms,Closest day to the exam,Always,B,,,,,,,,,
28,male,Bus,With familly,Closest day to the exam,Sometimes,B,,,,,,,,,
29,male,Bus,With familly,Closest day to the exam,Always,B,,,,,,,,,
30,female,Bus,With familly,Closest day to the exam,Sometimes,B,,,,,,,,,
31,female,Bus,With familly,Closest day to the exam,Always,B,,,,,,,,,
32,female,Bus,With familly,Closest day to the exam,Sometimes,B,,,,,,,,,
33,male,Bus,Dorms,Closest day to the exam,Sometimes,B,,,,,,,,,
34,male,Bus,Dorms,Regularly during the semester,Always,B,,,,,,,,,
35,male,Car,Dorms,Closest day to the exam,Always,B,,,,,,,,,
36,male,Bus,Dorms,Closest day to the exam,Sometimes,B,,,,,,,,,
37,male,Bus,Dorms,Regularly during the semester,Always,B,,,,,,,,,
38,male,Bus,Dorms,Regularly during the semester,Always,B,,,,,,,,,
39,female,Car,With familly,Regularly during the semester,Sometimes,B,,,,,,,,,
40,male,Bus,Dorms,Regularly during the semester,Sometimes,B,,,,,,,,,
41,male,Bus,Dorms,Regularly during the semester,Always,B,,,,,,,,,
42,male,Car,With familly,Regularly during the semester,Always,B,,,,,,,,,
43,male,Bus,With familly,Regularly during the semester,Always,B,,,,,,,,,
44,male,Car,Dorms,Closest day to the exam,Always,C,,,,,,,,,
45,male,Bus,Dorms,Closest day to the exam,Sometimes,C,,,,,,,,,
46,male,Car,Dorms,Closest day to the exam,Always,C,,,,,,,,,
47,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
48,male,Bus,With familly,Closest day to the exam,Always,C,,,,,,,,,
49,male,Bus,With familly,Closest day to the exam,Sometimes,C,,,,,,,,,
50,male,Bus,Dorms,Closest day to the exam,Sometimes,C,,,,,,,,,
51,female,Bus,Dorms,Closest day to the exam,Sometimes,C,,,,,,,,,
52,male,Bus,Dorms,Closest day to the exam,Sometimes,C,,,,,,,,,
53,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
54,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
55,male,Car,Dorms,Closest day to the exam,Sometimes,C,,,,,,,,,
56,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
57,female,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
58,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
59,female,Car,Dorms,Closest day to the exam,Sometimes,C,,,,,,,,,
60,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
61,male,Bus,Dorms,Closest day to the exam,Always,C,,,,,,,,,
62,male,Bus,Dorms,Regularly during the semester,Always,C,,,,,,,,,
63,male,Bus,With familly,Closest day to the exam,Always,D,,,,,,,,,
64,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
65,male,Car,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
66,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
67,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
68,female,Car,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
69,female,Car,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
70,female,Car,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
71,female,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
72,female,Bus,With familly,Closest day to the exam,Always,D,,,,,,,,,
73,male,Car,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
74,male,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
75,female,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
76,male,Bus,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
77,female,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
78,male,Car,Dorms,Closest day to the exam,Always,D,,,,,,,,,
79,male,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
80,male,Bus,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
81,male,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
82,male,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
83,female,Bus,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
84,female,Bus,Dorms,Regularly during the semester,Always,D,,,,,,,,,
85,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
86,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
87,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
88,male,Car,With familly,Closest day to the exam,Always,D,,,,,,,,,
89,male,Bus,With familly,Closest day to the exam,Sometimes,D,,,,,,,,,
90,female,Bus,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
91,male,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
92,male,Bus,Dorms,Closest day to the exam,Always,D,,,,,,,,,
93,male,Car,Dorms,Closest day to the exam,Sometimes,D,,,,,,,,,
94,male,Bus,With familly,Closest day to the exam,Always,D,,,,,,,,,
